title,description,points,expiration,category,active
Home Payment Jan. 2016,You paid your rent/mortgage for your house this month!,500,2/1/2016,home-payment,1/1/2016
Home Payment Feb. 2016,You paid your rent/mortgage for your house this month!,500,3/1/2016,home-payment,2/1/2016
Home Payment Mar. 2016,You paid your rent/mortgage for your house this month!,500,4/1/2016,home-payment,3/1/2016
Home Payment April 2016,You paid your rent/mortgage for your house this month!,500,5/1/2016,home-payment,4/1/2016
Home Payment May 2016,You paid your rent/mortgage for your house this month!,500,6/1/2016,home-payment,5/1/2016
Home Payment June 2016,You paid your rent/mortgage for your house this month!,500,7/1/2016,home-payment,6/1/2016
Home Payment July 2016,You paid your rent/mortgage for your house this month!,500,8/1/2016,home-payment,7/1/2016
Home Payment Aug. 2016,You paid your rent/mortgage for your house this month!,500,9/1/2016,home-payment,8/1/2016
Home Payment Sept. 2016,You paid your rent/mortgage for your house this month!,500,10/1/2016,home-payment,9/1/2016
Home Payment Oct. 2016,You paid your rent/mortgage for your house this month!,500,11/1/2016,home-payment,10/1/2016
Home Payment Nov. 2016,You paid your rent/mortgage for your house this month!,500,12/1/2016,home-payment,11/1/2016
Home Payment Dec. 2016,You paid your rent/mortgage for your house this month!,500,1/1/2017,home-payment,12/1/2016
Home Payment Jan. 2017,You paid your rent/mortgage for your house this month!,500,2/1/2017,home-payment,1/1/2017
Home Payment Feb. 2017,You paid your rent/mortgage for your house this month!,500,3/1/2017,home-payment,2/1/2017
Home Payment Mar. 2017,You paid your rent/mortgage for your house this month!,500,4/1/2017,home-payment,3/1/2017
Home Payment April 2017,You paid your rent/mortgage for your house this month!,500,5/1/2017,home-payment,4/1/2017
Home Payment May 2017,You paid your rent/mortgage for your house this month!,500,6/1/2017,home-payment,5/1/2017
Home Payment June 2017,You paid your rent/mortgage for your house this month!,500,7/1/2017,home-payment,6/1/2017
Home Payment July 2017,You paid your rent/mortgage for your house this month!,500,8/1/2017,home-payment,7/1/2017
Home Payment Aug. 2017,You paid your rent/mortgage for your house this month!,500,9/1/2017,home-payment,8/1/2017
Home Payment Sept. 2017,You paid your rent/mortgage for your house this month!,500,10/1/2017,home-payment,9/1/2017
Home Payment Oct. 2017,You paid your rent/mortgage for your house this month!,500,11/1/2017,home-payment,10/1/2017
Home Payment Nov. 2017,You paid your rent/mortgage for your house this month!,500,12/1/2017,home-payment,11/1/2017
Home Payment Dec. 2017,You paid your rent/mortgage for your house this month!,500,1/1/2018,home-payment,12/1/2017
Home Payment Jan. 2018,You paid your rent/mortgage for your house this month!,500,2/1/2018,home-payment,1/1/2018
Home Payment Feb. 2018,You paid your rent/mortgage for your house this month!,500,3/1/2018,home-payment,2/1/2018
Home Payment Mar. 2018,You paid your rent/mortgage for your house this month!,500,4/1/2018,home-payment,3/1/2018
Home Payment April 2018,You paid your rent/mortgage for your house this month!,500,5/1/2018,home-payment,4/1/2018
Home Payment May 2018,You paid your rent/mortgage for your house this month!,500,6/1/2018,home-payment,5/1/2018
Home Payment June 2018,You paid your rent/mortgage for your house this month!,500,7/1/2018,home-payment,6/1/2018
Home Payment July 2018,You paid your rent/mortgage for your house this month!,500,8/1/2018,home-payment,7/1/2018
Home Payment Aug. 2018,You paid your rent/mortgage for your house this month!,500,9/1/2018,home-payment,8/1/2018
Home Payment Sept. 2018,You paid your rent/mortgage for your house this month!,500,10/1/2018,home-payment,9/1/2018
Home Payment Oct. 2018,You paid your rent/mortgage for your house this month!,500,11/1/2018,home-payment,10/1/2018
Home Payment Nov. 2018,You paid your rent/mortgage for your house this month!,500,12/1/2018,home-payment,11/1/2018
Home Payment Dec. 2018,You paid your rent/mortgage for your house this month!,500,1/1/2019,home-payment,12/1/2018
Appt. Payment Jan. 2016,You paid your rent for your apartment this month!,500,2/1/2016,appt-payment,1/1/2016
Appt. Payment Feb. 2016,You paid your rent for your apartment this month!,500,3/1/2016,appt-payment,2/1/2016
